time, "env.T", "room.T", "room.w.isOpen", "room.r.isOn"
  0.000000,   5.000000,   6.999980,   0.000000,   0.000000
 10.000000,   4.997222,   6.994757,   0.000000,   0.000000
 20.000000,   4.994444,   6.995254,   0.000000,   0.000000
 30.000000,   4.991667,   7.000392,   0.000000,   0.000000
 40.000000,   4.988889,   7.005531,   0.000000,   0.000000
 50.000000,   4.986111,   7.009818,   0.000000,   0.000000
 60.000000,   4.983333,   7.013329,   0.000000,   0.000000
 70.000000,   4.980556,   7.016138,   0.000000,   0.000000
 80.000000,   4.977778,   7.018307,   0.000000,   0.000000
 90.000000,   4.975000,   7.019897,   0.000000,   0.000000
100.000000,   4.972222,   7.020961,   0.000000,   0.000000
110.000000,   4.969444,   7.021547,   0.000000,   0.000000
120.000000,   4.966667,   7.021700,   0.000000,   0.000000
130.000000,   4.963889,   7.021459,   0.000000,   0.000000
140.000000,   4.961111,   7.020861,   0.000000,   0.000000
150.000000,   4.958333,   7.019939,   0.000000,   0.000000
160.000000,   4.955556,   7.018723,   0.000000,   0.000000
170.000000,   4.952778,   7.017240,   0.000000,   0.000000
180.000000,   4.950000,   7.015514,   0.000000,   0.000000
190.000000,   4.947222,   7.013569,   0.000000,   0.000000
200.000000,   4.944444,   7.011425,   0.000000,   0.000000
210.000000,   4.941667,   7.009100,   0.000000,   0.000000
220.000000,   4.938889,   7.006612,   0.000000,   0.000000
230.000000,   4.936111,   7.003974,   0.000000,   0.000000
240.000000,   4.933333,   7.001202,   0.000000,   0.000000
250.000000,   4.930556,   6.998421,   0.000000,   0.000000
260.000000,   4.927778,   6.997271,   0.000000,   0.000000
270.000000,   4.925000,   6.998775,   0.000000,   0.000000
280.000000,   4.922222,   7.001150,   0.000000,   0.000000
290.000000,   4.919444,   7.002976,   0.000000,   0.000000
300.000000,   4.916667,   7.004247,   0.000000,   0.000000
310.000000,   4.913889,   7.005014,   0.000000,   0.000000
320.000000,   4.911111,   7.005323,   0.000000,   0.000000
330.000000,   4.908333,   7.005217,   0.000000,   0.000000
340.000000,   4.905556,   7.004735,   0.000000,   0.000000
350.000000,   4.902778,   7.003910,   0.000000,   0.000000
360.000000,   4.900000,   7.002775,   0.000000,   0.000000
370.000000,   4.897222,   7.001358,   0.000000,   0.000000
380.000000,   4.894444,   6.999688,   0.000000,   0.000000
390.000000,   4.891667,   6.998328,   0.000000,   0.000000
400.000000,   4.888889,   6.998517,   0.000000,   0.000000
410.000000,   4.886111,   6.999908,   0.000000,   0.000000
420.000000,   4.883333,   7.001121,   0.000000,   0.000000
430.000000,   4.880556,   7.001830,   0.000000,   0.000000
440.000000,   4.877778,   7.002081,   0.000000,   0.000000
450.000000,   4.875000,   7.001917,   0.000000,   0.000000
460.000000,   4.872222,   7.001376,   0.000000,   0.000000
470.000000,   4.869444,   7.000494,   0.000000,   0.000000
480.000000,   4.866667,   6.999342,   0.000000,   0.000000
490.000000,   4.863889,   6.998660,   0.000000,   0.000000
500.000000,   4.861111,   6.999106,   0.000000,   0.000000
510.000000,   4.858333,   7.000102,   0.000000,   0.000000
520.000000,   4.855556,   7.000744,   0.000000,   0.000000
530.000000,   4.852778,   7.000930,   0.000000,   0.000000
540.000000,   4.850000,   7.000703,   0.000000,   0.000000
550.000000,   4.847222,   7.000100,   0.000000,   0.000000
560.000000,   4.844444,   6.999272,   0.000000,   0.000000
570.000000,   4.841667,   6.998935,   0.000000,   0.000000
580.000000,   4.838889,   6.999399,   0.000000,   0.000000
590.000000,   4.836111,   7.000097,   0.000000,   0.000000
600.000000,   4.833333,   7.000407,   0.000000,   0.000000
610.000000,   4.830556,   7.000288,   0.000000,   0.000000
620.000000,   4.827778,   6.999786,   0.000000,   0.000000
630.000000,   4.825000,   6.999222,   0.000000,   0.000000
640.000000,   4.822222,   6.999174,   0.000000,   0.000000
650.000000,   4.819444,   6.999644,   0.000000,   0.000000
660.000000,   4.816667,   7.000086,   0.000000,   0.000000
670.000000,   4.813889,   7.000116,   0.000000,   0.000000
680.000000,   4.811111,   6.999754,   0.000000,   0.000000
690.000000,   4.808333,   6.999328,   0.000000,   0.000000
700.000000,   4.805556,   6.999290,   0.000000,   0.000000
710.000000,   4.802778,   6.999642,   0.000000,   0.000000
720.000000,   4.800000,   6.999976,   0.000000,   0.000000
730.000000,   4.797222,   6.999941,   0.000000,   0.000000
740.000000,   4.794444,   6.999608,   0.000000,   0.000000
750.000000,   4.791667,   6.999355,   0.000000,   0.000000
760.000000,   4.788889,   6.999443,   0.000000,   0.000000
770.000000,   4.786111,   6.999745,   0.000000,   0.000000
780.000000,   4.783333,   6.999921,   0.000000,   0.000000
790.000000,   4.780556,   6.999797,   0.000000,   0.000000
800.000000,   4.777778,   6.999530,   0.000000,   0.000000
810.000000,   4.775000,   6.999418,   0.000000,   0.000000
820.000000,   4.772222,   6.999563,   0.000000,   0.000000
830.000000,   4.769444,   6.999788,   0.000000,   0.000000
840.000000,   4.766667,   6.999846,   0.000000,   0.000000
850.000000,   4.763889,   6.999691,   0.000000,   0.000000
860.000000,   4.761111,   6.999507,   0.000000,   0.000000
870.000000,   4.758333,   6.999490,   0.000000,   0.000000
880.000000,   4.755556,   6.999643,   0.000000,   0.000000
890.000000,   4.752778,   6.999787,   0.000000,   0.000000
900.000000,   4.750000,   6.999770,   0.000000,   0.000000
910.000000,   4.747222,   6.999625,   0.000000,   0.000000
920.000000,   4.744444,   6.999517,   0.000000,   0.000000
930.000000,   4.741667,   6.999556,   0.000000,   0.000000
940.000000,   4.738889,   6.999687,   0.000000,   0.000000
950.000000,   4.736111,   6.999762,   0.000000,   0.000000
960.000000,   4.733333,   6.999706,   0.000000,   0.000000
970.000000,   4.730556,   6.999591,   0.000000,   0.000000
980.000000,   4.727778,   6.999543,   0.000000,   0.000000
990.000000,   4.725000,   6.999607,   0.000000,   0.000000
1000.000000,   4.722222,   6.999703,   0.000000,   0.000000
1010.000000,   4.719444,   6.999727,   0.000000,   0.000000
1020.000000,   4.716667,   6.999659,   0.000000,   0.000000
1030.000000,   4.713889,   6.999580,   0.000000,   0.000000
1040.000000,   4.711111,   6.999573,   0.000000,   0.000000
1050.000000,   4.708333,   6.999640,   0.000000,   0.000000
1060.000000,   4.705556,   6.999701,   0.000000,   0.000000
1070.000000,   4.702778,   6.999693,   0.000000,   0.000000
1080.000000,   4.700000,   6.999629,   0.000000,   0.000000
1090.000000,   4.697222,   6.999583,   0.000000,   0.000000
1100.000000,   4.694444,   6.999600,   0.000000,   0.000000
1110.000000,   4.691667,   6.999657,   0.000000,   0.000000
1120.000000,   4.688889,   6.999688,   0.000000,   0.000000
1130.000000,   4.686111,   6.999663,   0.000000,   0.000000
1140.000000,   4.683333,   6.999613,   0.000000,   0.000000
1150.000000,   4.680556,   6.999593,   0.000000,   0.000000
1160.000000,   4.677778,   6.999621,   0.000000,   0.000000
1170.000000,   4.675000,   6.999662,   0.000000,   0.000000
1180.000000,   4.672222,   6.999672,   0.000000,   0.000000
1190.000000,   4.669444,   6.999642,   0.000000,   0.000000
1200.000000,   4.666667,   6.999607,   0.000000,   0.000000
1210.000000,   4.663889,   6.999605,   0.000000,   0.000000
1220.000000,   4.661111,   6.999633,   0.000000,   0.000000
1230.000000,   4.658333,   6.999660,   0.000000,   0.000000
1240.000000,   4.655556,   6.999655,   0.000000,   0.000000
1250.000000,   4.652778,   6.999628,   0.000000,   0.000000
1260.000000,   4.650000,   6.999607,   0.000000,   0.000000
1270.000000,   4.647222,   6.999615,   0.000000,   0.000000
1280.000000,   4.644444,   6.999639,   0.000000,   0.000000
1290.000000,   4.641667,   6.999652,   0.000000,   0.000000
1300.000000,   4.638889,   6.999641,   0.000000,   0.000000
1310.000000,   4.636111,   6.999619,   0.000000,   0.000000
1320.000000,   4.633333,   6.999611,   0.000000,   0.000000
1330.000000,   4.630556,   6.999622,   0.000000,   0.000000
1340.000000,   4.627778,   6.999640,   0.000000,   0.000000
1350.000000,   4.625000,   6.999644,   0.000000,   0.000000
1360.000000,   4.622222,   6.999630,   0.000000,   0.000000
1370.000000,   4.619444,   6.999615,   0.000000,   0.000000
1380.000000,   4.616667,   6.999614,   0.000000,   0.000000
1390.000000,   4.613889,   6.999626,   0.000000,   0.000000
1400.000000,   4.611111,   6.999637,   0.000000,   0.000000
1410.000000,   4.608333,   6.999635,   0.000000,   0.000000
1420.000000,   4.605556,   6.999623,   0.000000,   0.000000
1430.000000,   4.602778,   6.999614,   0.000000,   0.000000
1440.000000,   4.600000,   6.999617,   0.000000,   0.000000
1450.000000,   4.597222,   6.999627,   0.000000,   0.000000
