time, "env.T", "env.b.T", "room.T", "room.w.isOpen", "room.r.T", "room.r.tT", "room.r.lambda"
  0.000000,   8.000000,  40.000000,   7.000010,   0.000000,   7.000000,   7.000000,   0.000000
 10.000000,   8.002778,  40.000000,   7.003249,   0.000000,   7.000092,   7.000000,   0.000000
 20.000000,   8.005556,  40.000000,   7.006373,   0.000000,   7.000357,   7.000000,   0.000000
 30.000000,   8.008333,  40.000000,   7.009394,   0.000000,   7.000778,   7.000000,   0.000000
 40.000000,   8.011111,  40.000000,   7.012321,   0.000000,   7.001341,   7.000000,   0.000000
 50.000000,   8.013889,  40.000000,   7.015163,   0.000000,   7.002033,   7.000000,   0.000000
 60.000000,   8.016667,  40.000000,   7.017928,   0.000000,   7.002843,   7.000000,   0.000000
 70.000000,   8.019444,  40.000000,   7.020623,   0.000000,   7.003760,   7.000000,   0.000000
 80.000000,   8.022222,  40.000000,   7.023254,   0.000000,   7.004775,   7.000000,   0.000000
 90.000000,   8.025000,  40.000000,   7.025828,   0.000000,   7.005877,   7.000000,   0.000000
100.000000,   8.027778,  40.000000,   7.028350,   0.000000,   7.007061,   7.000000,   0.000000
110.000000,   8.030556,  40.000000,   7.030825,   0.000000,   7.008318,   7.000000,   0.000000
120.000000,   8.033333,  40.000000,   7.033257,   0.000000,   7.009641,   7.000000,   0.000000
130.000000,   8.036111,  40.000000,   7.035650,   0.000000,   7.011025,   7.000000,   0.000000
140.000000,   8.038889,  40.000000,   7.038009,   0.000000,   7.012464,   7.000000,   0.000000
150.000000,   8.041667,  40.000000,   7.040336,   0.000000,   7.013954,   7.000000,   0.000000
160.000000,   8.044444,  40.000000,   7.042635,   0.000000,   7.015489,   7.000000,   0.000000
170.000000,   8.047222,  40.000000,   7.044907,   0.000000,   7.017067,   7.000000,   0.000000
180.000000,   8.050000,  40.000000,   7.047157,   0.000000,   7.018682,   7.000000,   0.000000
190.000000,   8.052778,  40.000000,   7.049385,   0.000000,   7.020332,   7.000000,   0.000000
200.000000,   8.055556,  40.000000,   7.051595,   0.000000,   7.022014,   7.000000,   0.000000
210.000000,   8.058333,  40.000000,   7.053788,   0.000000,   7.023725,   7.000000,   0.000000
220.000000,   8.061111,  40.000000,   7.055965,   0.000000,   7.025462,   7.000000,   0.000000
230.000000,   8.063889,  40.000000,   7.058128,   0.000000,   7.027224,   7.000000,   0.000000
240.000000,   8.066667,  40.000000,   7.060279,   0.000000,   7.029007,   7.000000,   0.000000
250.000000,   8.069444,  40.000000,   7.062419,   0.000000,   7.030811,   7.000000,   0.000000
260.000000,   8.072222,  40.000000,   7.064549,   0.000000,   7.032633,   7.000000,   0.000000
270.000000,   8.075000,  40.000000,   7.066670,   0.000000,   7.034472,   7.000000,   0.000000
280.000000,   8.077778,  40.000000,   7.068782,   0.000000,   7.036326,   7.000000,   0.000000
290.000000,   8.080556,  40.000000,   7.070888,   0.000000,   7.038195,   7.000000,   0.000000
300.000000,   8.083333,  40.000000,   7.072988,   0.000000,   7.040076,   7.000000,   0.000000
310.000000,   8.086111,  40.000000,   7.075082,   0.000000,   7.041970,   7.000000,   0.000000
320.000000,   8.088889,  40.000000,   7.077171,   0.000000,   7.043875,   7.000000,   0.000000
330.000000,   8.091667,  40.000000,   7.079255,   0.000000,   7.045790,   7.000000,   0.000000
340.000000,   8.094444,  40.000000,   7.081336,   0.000000,   7.047714,   7.000000,   0.000000
350.000000,   8.097222,  40.000000,   7.083413,   0.000000,   7.049647,   7.000000,   0.000000
360.000000,   8.100000,  40.000000,   7.085488,   0.000000,   7.051587,   7.000000,   0.000000
370.000000,   8.102778,  40.000000,   7.087560,   0.000000,   7.053536,   7.000000,   0.000000
380.000000,   8.105556,  40.000000,   7.089629,   0.000000,   7.055491,   7.000000,   0.000000
390.000000,   8.108333,  40.000000,   7.091697,   0.000000,   7.057452,   7.000000,   0.000000
400.000000,   8.111111,  40.000000,   7.093764,   0.000000,   7.059419,   7.000000,   0.000000
410.000000,   8.113889,  40.000000,   7.095829,   0.000000,   7.061392,   7.000000,   0.000000
420.000000,   8.116667,  40.000000,   7.097893,   0.000000,   7.063370,   7.000000,   0.000000
430.000000,   8.119444,  40.000000,   7.099957,   0.000000,   7.065352,   7.000000,   0.000000
440.000000,   8.122222,  40.000000,   7.102020,   0.000000,   7.067340,   7.000000,   0.000000
450.000000,   8.125000,  40.000000,   7.104082,   0.000000,   7.069331,   7.000000,   0.000000
460.000000,   8.127778,  40.000000,   7.106144,   0.000000,   7.071326,   7.000000,   0.000000
470.000000,   8.130556,  40.000000,   7.108206,   0.000000,   7.073325,   7.000000,   0.000000
480.000000,   8.133333,  40.000000,   7.110268,   0.000000,   7.075328,   7.000000,   0.000000
490.000000,   8.136111,  40.000000,   7.112331,   0.000000,   7.077334,   7.000000,   0.000000
500.000000,   8.138889,  40.000000,   7.114393,   0.000000,   7.079343,   7.000000,   0.000000
510.000000,   8.141667,  40.000000,   7.116456,   0.000000,   7.081355,   7.000000,   0.000000
520.000000,   8.144444,  40.000000,   7.118520,   0.000000,   7.083370,   7.000000,   0.000000
530.000000,   8.147222,  40.000000,   7.120584,   0.000000,   7.085387,   7.000000,   0.000000
540.000000,   8.150000,  40.000000,   7.122649,   0.000000,   7.087407,   7.000000,   0.000000
550.000000,   8.152778,  40.000000,   7.124714,   0.000000,   7.089430,   7.000000,   0.000000
560.000000,   8.155556,  40.000000,   7.126781,   0.000000,   7.091455,   7.000000,   0.000000
570.000000,   8.158333,  40.000000,   7.128848,   0.000000,   7.093483,   7.000000,   0.000000
580.000000,   8.161111,  40.000000,   7.130915,   0.000000,   7.095512,   7.000000,   0.000000
590.000000,   8.163889,  40.000000,   7.132984,   0.000000,   7.097544,   7.000000,   0.000000
600.000000,   8.166667,  40.000000,   7.135054,   0.000000,   7.099578,   7.000000,   0.000000
610.000000,   8.169444,  40.000000,   7.137125,   0.000000,   7.101614,   7.000000,   0.000000
620.000000,   8.172222,  40.000000,   7.139197,   0.000000,   7.103652,   7.000000,   0.000000
630.000000,   8.175000,  40.000000,   7.141270,   0.000000,   7.105692,   7.000000,   0.000000
640.000000,   8.177778,  40.000000,   7.143344,   0.000000,   7.107734,   7.000000,   0.000000
650.000000,   8.180556,  40.000000,   7.145419,   0.000000,   7.109777,   7.000000,   0.000000
660.000000,   8.183333,  40.000000,   7.147495,   0.000000,   7.111823,   7.000000,   0.000000
670.000000,   8.186111,  40.000000,   7.149573,   0.000000,   7.113870,   7.000000,   0.000000
680.000000,   8.188889,  40.000000,   7.151651,   0.000000,   7.115919,   7.000000,   0.000000
690.000000,   8.191667,  40.000000,   7.153731,   0.000000,   7.117969,   7.000000,   0.000000
700.000000,   8.194444,  40.000000,   7.155812,   0.000000,   7.120021,   7.000000,   0.000000
710.000000,   8.197222,  40.000000,   7.157894,   0.000000,   7.122075,   7.000000,   0.000000
720.000000,   8.200000,  40.000000,   7.159978,   0.000000,   7.124131,   7.000000,   0.000000
730.000000,   8.202778,  40.000000,   7.162063,   0.000000,   7.126188,   7.000000,   0.000000
740.000000,   8.205556,  40.000000,   7.164149,   0.000000,   7.128246,   7.000000,   0.000000
750.000000,   8.208333,  40.000000,   7.166236,   0.000000,   7.130306,   7.000000,   0.000000
760.000000,   8.211111,  40.000000,   7.168324,   0.000000,   7.132368,   7.000000,   0.000000
770.000000,   8.213889,  40.000000,   7.170414,   0.000000,   7.134431,   7.000000,   0.000000
780.000000,   8.216667,  40.000000,   7.172505,   0.000000,   7.136496,   7.000000,   0.000000
790.000000,   8.219444,  40.000000,   7.174598,   0.000000,   7.138562,   7.000000,   0.000000
800.000000,   8.222222,  40.000000,   7.176691,   0.000000,   7.140630,   7.000000,   0.000000
810.000000,   8.225000,  40.000000,   7.178786,   0.000000,   7.142699,   7.000000,   0.000000
820.000000,   8.227778,  40.000000,   7.180882,   0.000000,   7.144770,   7.000000,   0.000000
830.000000,   8.230556,  40.000000,   7.182980,   0.000000,   7.146842,   7.000000,   0.000000
840.000000,   8.233333,  40.000000,   7.185079,   0.000000,   7.148916,   7.000000,   0.000000
850.000000,   8.236111,  40.000000,   7.187179,   0.000000,   7.150991,   7.000000,   0.000000
860.000000,   8.238889,  40.000000,   7.189280,   0.000000,   7.153068,   7.000000,   0.000000
870.000000,   8.241667,  40.000000,   7.191383,   0.000000,   7.155145,   7.000000,   0.000000
880.000000,   8.244444,  40.000000,   7.193487,   0.000000,   7.157225,   7.000000,   0.000000
890.000000,   8.247222,  40.000000,   7.195592,   0.000000,   7.159305,   7.000000,   0.000000
900.000000,   8.250000,  40.000000,   7.197698,   0.000000,   7.161388,   7.000000,   0.000000
910.000000,   8.252778,  40.000000,   7.199806,   0.000000,   7.163471,   7.000000,   0.000000
920.000000,   8.255556,  40.000000,   7.201915,   0.000000,   7.165556,   7.000000,   0.000000
930.000000,   8.258333,  40.000000,   7.204026,   0.000000,   7.167642,   7.000000,   0.000000
940.000000,   8.261111,  40.000000,   7.206138,   0.000000,   7.169730,   7.000000,   0.000000
950.000000,   8.263889,  40.000000,   7.208251,   0.000000,   7.171819,   7.000000,   0.000000
960.000000,   8.266667,  40.000000,   7.210365,   0.000000,   7.173910,   7.000000,   0.000000
970.000000,   8.269444,  40.000000,   7.212481,   0.000000,   7.176001,   7.000000,   0.000000
980.000000,   8.272222,  40.000000,   7.214597,   0.000000,   7.178095,   7.000000,   0.000000
990.000000,   8.275000,  40.000000,   7.216716,   0.000000,   7.180189,   7.000000,   0.000000
1000.000000,   8.277778,  40.000000,   7.218835,   0.000000,   7.182285,   7.000000,   0.000000
1010.000000,   8.280556,  40.000000,   7.220956,   0.000000,   7.184382,   7.000000,   0.000000
1020.000000,   8.283333,  40.000000,   7.223078,   0.000000,   7.186481,   7.000000,   0.000000
1030.000000,   8.286111,  40.000000,   7.225201,   0.000000,   7.188581,   7.000000,   0.000000
1040.000000,   8.288889,  40.000000,   7.227326,   0.000000,   7.190682,   7.000000,   0.000000
1050.000000,   8.291667,  40.000000,   7.229452,   0.000000,   7.192785,   7.000000,   0.000000
1060.000000,   8.294444,  40.000000,   7.231579,   0.000000,   7.194889,   7.000000,   0.000000
1070.000000,   8.297222,  40.000000,   7.233707,   0.000000,   7.196994,   7.000000,   0.000000
1080.000000,   8.300000,  40.000000,   7.235837,   0.000000,   7.199100,   7.000000,   0.000000
1090.000000,   8.302778,  40.000000,   7.237968,   0.000000,   7.201208,   7.000000,   0.000000
1100.000000,   8.305556,  40.000000,   7.240100,   0.000000,   7.203318,   7.000000,   0.000000
1110.000000,   8.308333,  40.000000,   7.242234,   0.000000,   7.205428,   7.000000,   0.000000
1120.000000,   8.311111,  40.000000,   7.244369,   0.000000,   7.207540,   7.000000,   0.000000
1130.000000,   8.313889,  40.000000,   7.246505,   0.000000,   7.209653,   7.000000,   0.000000
1140.000000,   8.316667,  40.000000,   7.248642,   0.000000,   7.211768,   7.000000,   0.000000
1150.000000,   8.319444,  40.000000,   7.250780,   0.000000,   7.213884,   7.000000,   0.000000
1160.000000,   8.322222,  40.000000,   7.252920,   0.000000,   7.216001,   7.000000,   0.000000
