hour,temperature,date
0,4,2023-04-22
1,3,2023-04-22
2,3,2023-04-22
3,3,2023-04-22
4,2,2023-04-22
5,2,2023-04-22
6,2,2023-04-22
7,4,2023-04-22
8,7,2023-04-22
9,10,2023-04-22
10,14,2023-04-22
11,15,2023-04-22
12,15,2023-04-22
13,15,2023-04-22
14,15,2023-04-22
15,15,2023-04-22
16,16,2023-04-22
17,15,2023-04-22
18,14,2023-04-22
19,13,2023-04-22
20,12,2023-04-22
21,11,2023-04-22
22,11,2023-04-22
23,10,2023-04-22
24,10,2023-04-22
25,9,2023-04-23
26,9,2023-04-23
27,9,2023-04-23
28,9,2023-04-23
29,9,2023-04-23
30,9,2023-04-23
31,9,2023-04-23
32,9,2023-04-23
33,9,2023-04-23
34,10,2023-04-23
35,11,2023-04-23
36,12,2023-04-23
37,13,2023-04-23
38,13,2023-04-23
39,12,2023-04-23
40,13,2023-04-23
41,12,2023-04-23
42,12,2023-04-23
43,11,2023-04-23
44,9,2023-04-23
45,8,2023-04-23
46,8,2023-04-23
47,8,2023-04-23
48,8,2023-04-23
49,8,2023-04-24
50,8,2023-04-24
51,9,2023-04-24
52,9,2023-04-24
53,9,2023-04-24
54,9,2023-04-24
55,9,2023-04-24
56,9,2023-04-24
57,9,2023-04-24
58,9,2023-04-24
59,9,2023-04-24
60,9,2023-04-24
61,8,2023-04-24
62,8,2023-04-24
63,9,2023-04-24
64,9,2023-04-24
65,10,2023-04-24
66,9,2023-04-24
67,8,2023-04-24
68,7,2023-04-24
69,6,2023-04-24
70,6,2023-04-24
71,5,2023-04-24
72,5,2023-04-24
73,5,2023-04-25
74,5,2023-04-25
75,5,2023-04-25
76,5,2023-04-25
77,5,2023-04-25
78,5,2023-04-25
79,5,2023-04-25
80,6,2023-04-25
81,8,2023-04-25
82,9,2023-04-25
83,9,2023-04-25
84,9,2023-04-25
85,8,2023-04-25
86,7,2023-04-25
87,8,2023-04-25
88,8,2023-04-25
89,8,2023-04-25
90,7,2023-04-25
91,7,2023-04-25
92,8,2023-04-25
93,7,2023-04-25
94,6,2023-04-25
95,5,2023-04-25
96,5,2023-04-25
97,4,2023-04-26
98,4,2023-04-26
99,3,2023-04-26
100,3,2023-04-26
101,3,2023-04-26
102,3,2023-04-26
103,4,2023-04-26
104,5,2023-04-26
105,6,2023-04-26
106,7,2023-04-26
107,9,2023-04-26
108,9,2023-04-26
109,9,2023-04-26
110,10,2023-04-26
111,11,2023-04-26
112,10,2023-04-26
113,11,2023-04-26
114,8,2023-04-26
115,8,2023-04-26
116,7,2023-04-26
117,6,2023-04-26
118,5,2023-04-26
119,4,2023-04-26
120,3,2023-04-26
121,3,2023-04-27
122,3,2023-04-27
123,3,2023-04-27
124,3,2023-04-27
125,3,2023-04-27
126,3,2023-04-27
127,4,2023-04-27
128,6,2023-04-27
129,8,2023-04-27
130,9,2023-04-27
131,10,2023-04-27
132,10,2023-04-27
133,11,2023-04-27
134,11,2023-04-27
135,12,2023-04-27
136,12,2023-04-27
137,11,2023-04-27
138,11,2023-04-27
139,10,2023-04-27
140,8,2023-04-27
141,6,2023-04-27
142,5,2023-04-27
143,5,2023-04-27
144,4,2023-04-27
145,3,2023-04-28
146,2,2023-04-28
147,1,2023-04-28
148,0,2023-04-28
149,-1,2023-04-28
150,-2,2023-04-28
151,2,2023-04-28
152,4,2023-04-28
153,7,2023-04-28
154,8,2023-04-28
155,8,2023-04-28
156,8,2023-04-28
157,9,2023-04-28
158,10,2023-04-28
159,9,2023-04-28
160,8,2023-04-28
161,8,2023-04-28
162,9,2023-04-28
163,8,2023-04-28
164,7,2023-04-28
165,7,2023-04-28
166,6,2023-04-28
167,5,2023-04-28
168,4,2023-04-28
